Player,Deck,Rank
yuuji yoshida,Temur Aggro,139
Takayuki Rita,Jeskai Control,140
Kouta Mochizuki,Temur Prowess,141
Shintaro Kurata,Izzet Aggro,142
TATSURO ASANO,Izzet Prowess,143
Tatsuumi KOBAYASHI,Izzet Spellementals,144
satoshi hashimoto,Bant Midrange,145
Katsuki Fukumoto,Selesnya Landfall,146
Eisuke Oono,Selesnya Landfall,147
Satoshi Ishiguro,Temur Aggro,148
Masayasu,Izzet Elementals,149
HARUKA KAWANOBE,Izzet Midrange,150
Tetsu Kawaguchi,W-U-B-R Control,151
naoya okamura,Izzet Elementals,152
Kotaro Takahashi,Selesnya Landfall,153
Takehito Kawakami,Jeskai Control,154
Shunsuke Kimura,Sultai Control,155
Toshiya Kanegawa,Selesnya Aggro,156
Tomoaki Ogasawara,Selesnya Ouroboroid,157
Jeongwoo Cho,Izzet Prowess,158
RYUJI INOUE,Izzet Aggro,159
Masanari Fukasawa,Selesnya Landfall,160
YutaYamada,Izzet Prowess,161
Andreas Holmqvist,Selesnya Landfall,162
Taro Takahashi,Sultai Control,163
Takuya Aoki,Izzet,164
Leo Isogaya,Izzet Lessons,165
Haruka Ookura,Selesnya Landfall,166
Atsushi Nakashima,Jeskai Control,167
akira uemura,Selesnya Landfall,168
Takaaki Okumura,Izzet Prowess,169
Yohei Nomiya,Izzet Spellementals,170
syuhei nakayama,Izzet Prowess,171
HYUNDEOK JANG,Boros Dragons,172
Yuya Mizuno,Selesnya Landfall,173
RyosukeHayashi,Temur Midrange,174
TaeHyoungKim,Selesnya Aggro,175
shintarou yoshida,Jeskai Control,176
TOYOSHIMAYUMA,Jeskai Artifacts,177
IngyunAhn,Izzet Prowess,178
HIDENARI IKEDA,Selesnya Landfall,179
Tetsuji Yamamoto,Golgari Midrange,180
Ryosuke Okada,Izzet Aggro,181
Shunichi Nakajima,Izzet Prowess,182
Toru Yanagisaka,Dimir Combo,183
Keisuke Kirito,Izzet Tempo,184
Yosuke Hieda,W-U-B-R Control,185
Manato Hosomi,Izzet Aggro,186
MAIMScrubs,Selesnya Landfall,187
NOBUAKI JINBA,Temur Omniscience,188
Sangjoon Kong,Grixis Midrange,189
GonTV,Dimir Excruciator,190
tanono,Mardu Monument,191
EIJI SOGO,Mono-Green Landfall,192
MASATO YAMADE,Izzet Spellementals,193
Koala40,Dimir Demons,194
Taichi  Akiyama,Azorius Tempo,195
SHUNICHI NAKASHIMA,Selesnya Ouroboroid,196
Pol Uros,Izzet Spellementals,197
takayukikumakura,Dimir Demons,198
Atsushi Hasegawa,Mono-White Aggro,199
Shicheng Peng,Jeskai Control,200
Ryo Inazawa,Selesnya Landfall,201
Mikita Hisano,Boros,202
Shota Miyashita,Izzet Lessons,203
Ryota Ishikawa,Selesnya Landfall,204
Taisei Nakayama,Izzet Prowess,205
MASAO ODA,Mono-Green Landfall,206
kyohei fukuyama,Selesnya,207
MASAAKI SAKAMOTO,Selesnya Midrange,208
kouichi ishiwata,Bant Rhythm,209
Kazuki Kawata,Jeskai Control,210
Riku Kumagai,Izzet Spellementals,211
Ryuji Murae,Izzet Aggro,212
yasutaka Nagao,W-U-B-R Control,213
DBAngel,Temur Omniscience,214
XU BAOZHONG,Jeskai Aggro,215
cckew,Izzet Spellementals,216
Takamichi Asai,Temur Prowess,217
Kazuaki WATANABE,Selesnya Landfall,218
Takumi Matsuura,Izzet Prowess,219
junsei yamaguchi,Jeskai Control,220
Takahiro Obara,Izzet Prowess,221
LaturaPK,Izzet,222
TOMOKI EGEYAMA,Izzet Prowess,223
Takahisa Oonishi,Temur Combo,224
YUKI OTA,Izzet Control,225
takanori watanabe,Selesnya Aggro,226
rintaro honda,Temur Aggro,227
Yosuke Oka,Izzet Prowess,228
Kyohei Murayama,Sultai Control,229
HUNG KAIYANG,Boros Aggro,230
Taiki Kageyama,Temur Prowess,231
Shota Takao,Selesnya Landfall,232
Ryosuke Nishiura,Selesnya Landfall,233
TakuroIto,Selesnya Landfall,234
Yuki Wada,Mono-Red Aggro,235
takuya yamada,W-U-B-R Control,236
TimYip,Izzet,237
Takeshi Ozawa,Bant Rhythm,238
Hideaki Teruya,Izzet Tempo,239
RYOUTA SHIMIZU,Izzet Spellementals,240
Yuichiro Sasa,Boros Aggro,241
HataRyushi,Temur Aggro,242
Onoda Kenji,Izzet Lessons,243
空 大黒,Sultai Control,244
john_1_10_taka,Izzet Prowess,245
MAKITOYOSHIYAMA,Temur Aggro,246
Yuuhei Komatsu,Selesnya Landfall,247
suganumakatuhiro,Grixis Reanimator,248
KAZUYOSHI ANAN,W-U-B-R Control,249
HAYATO IGURA,Selesnya Landfall,250
Jun Furukawa,Izzet Aggro,251
Kazuki Murata,Dimir Excruciator,252
Yusuke Ohkawa,Izzet Lessons,253
gohki yokomizo,Dimir Deceit,254
Atsuki Kihara,Sultai Control,255
itomasayoshi,Temur Aggro,256
SHINICHI NAGAI,Izzet Lessons,257
Mikita Hirano,Izzet Spellementals,258
junichi takayama,Izzet Spellementals,259
Tomoki  Usui,Golgari Midrange,260
Kiho Choi,Izzet Prowess,261
AxeBang,Izzet Elementals,262
trexdog001,Izzet Control,263
Nixed,W-U-B-R Control,264
Masahito Masuda,Temur Prowess,265
Toyoharu Mizuno,Selesnya Landfall,266
Kazune Kosaka,Temur Prowess,267
ryota takeuchi,Boros Aggro,268
Shigeo Murase,Jeskai Control,269
Naoki Higashida,Izzet Prowess,270
Syunsuke Nakazima,Jeskai Control,271
Kenichirise,Izzet Bounce,272
Koichi Kudo,Selesnya Ouroboroid,273
koki hara,Bant Rhythm,274
Yuya Minezaki,Temur Prowess,275
Yotaki,Jeskai Elementals,276
Horiuchi Makoto,Temur Prowess,277
shun asano,Sultai Control,278
Kazuya Kiyofuji,Selesnya Landfall,279
aqua haruka#50863,Temur Prowess,280
Chikara Nakajima,Mono-Green Landfall,281
Ryouji Hirokawa,Dimir Demons,282
Minoru Sato,Sultai Combo,283
KENTA KATAGIRI,Selesnya Rhythm,284
yasuhiro yazu,Selesnya Ouroboroid,285
Kazuhito Nobuta,Selesnya Landfall,286
Yoshihiro Oohashi,Jeskai Control,287
彰信 梶谷,Selesnya Landfall,288
taiyu kato,Golgari Aggro,289
Yutaro Tokuyama,Orzhov Aggro,290
satoshi kuroiwa,Temur Prowess,291
Yunan Deng,Jeskai Artifacts,292
Takehiro Fujimoto,Mono-Red Aggro,293
Kaoru Yoshizawa,Izzet Prowess,294
kent kakigi,Izzet Spellementals,295
Naoyuki Hashimoto,Dimir Excruciator,296
Masaru Abe,Dimir Excruciator,297
YOICHI NAGAMI,Abzan Control,298
Reona Shiga,Temur Aggro,299
sawada jun,Jeskai Control,300
Takatomo Tezuka,Izzet Prowess,301
Kouhei Komiyama,Azorius Flash,302
Kazuaki Kurokawa,Izzet Prowess,303
yoshio miyake,Selesnya Landfall,304
Satoshi Kuraoka,Izzet Spellementals,305
Takumi Onodera,Temur Prowess,306
tsuyoshinakamura,Abzan Midrange,307
Joel Hjortness,W-U-B-R Control,308
Keisuke Ebitani,Selesnya Ouroboroid,309
DaichiKo,Izzet Prowess,310
Alexander von Stange,Izzet Prowess,311
Kazuhiro Nakamura,Izzet Lessons,312
JUNYA YOSHIKAWA,Temur Prowess,313
Akira Tanaka,Izzet Lessons,314
mcgottsu,Mardu Aggro,315
Seita Oono,Selesnya Rhythm,316
MiyazakiTakato,Jeskai Control,317
Takurou Yamaguchi,Sultai Control,318
Ryo Ito,Jeskai Control,319
Kenta Harane,Izzet Otters,320
Kyle Hitachi,Sultai Control,321
Akinori Fujikura,Izzet Prowess,322
Takahiro Shiraki,Simic Aggro,323
Hiroto Ogata,Izzet Control,324
natsuki kitada,Sultai Control,325
Kosuke Shibazaki,Izzet Aggro,326
SHOGO KONDO,Izzet Prowess,327
yuki yamazaki,Boros Aggro,328
TatsumasaTAKANO,Jeskai Midrange,329
Yusuke Sasao,Izzet Elementals,330
Takashi Tsunomori,Golgari Midrange,331
yasunori yajima,Izzet Midrange,332
Jun Takeuchi,Izzet Elementals,333
Kazushige Shimamura,Selesnya Landfall,334
tatsuya kadowaki,Izzet Spellementals,335
tomoya fujimoto,Selesnya Landfall,336
RYOHEI SUZUKI,Mono-Red Aggro,337
Ryohei Takezawa,Izzet Aggro,338
MAEDA YOSHITAKA,Izzet Prowess,339
LEESHITIAN,Dimir Excruciator,340
Takuto Furukawa,Azorius Flash,341
bbtaka,Selesnya Aggro,342
hirohata,Golgari Midrange,343
Shigeki Kimura,Temur Aggro,344
Hiroaki Itou,Sultai Control,345
Takuya Yoshimura,Izzet Control,346
takayuki denishi,Selesnya Landfall,347
toya,W-U-B-R Control,348
Ohashi Toshiyuki,Azorius Aggro,349
Ryouta Mishina,Temur Prowess,350
showatanabe,Bant Combo,351
Ryuichi Okayasu,Izzet Prowess,352
