Round,Table,Players,Decks,Winner
Round 1,87,"MAKITOYOSHIYAMA
Yuta Inukai He/Him","Temur Aggro
Selesnya Landfall",MAKITOYOSHIYAMA won 2-0-0
Round 1,88,"yamamotoatsushi
TakahashiRyoma","Mono-Green Landfall
Golgari Demons",TakahashiRyoma won 2-0-0
Round 1,89,"suganumakatuhiro
Akinori Fujikura He/Him","Grixis Reanimator
Izzet Prowess",suganumakatuhiro won 2-1-0
Round 1,90,"genki ogino
Keisuke Ebitani","Izzet Aggro
Selesnya Ouroboroid",Keisuke Ebitani won 2-1-0
Round 1,91,"Shunichi Nakajima
Toyoharu Mizuno He/Him","Izzet Prowess
Selesnya Landfall",Toyoharu Mizuno won 2-1-0
Round 1,92,"Keisuke Komatsu
Yuya Minezaki","Izzet Spellementals
Temur Prowess",Keisuke Komatsu won 2-0-0
Round 1,93,"Takeshi Ozawa He/Him
Hiroki Yamagata","Bant Rhythm
Izzet Prowess",Hiroki Yamagata won 2-1-0
Round 1,94,"YutaYamada
Takeshi Miyawaki He/Him","Izzet Prowess
Dimir Excruciator",YutaYamada won 2-1-0
Round 1,95,"Atsuki Kihara He/Him
Akira Yamawaki","Sultai Control
Azorius Tempo",Atsuki Kihara won 2-0-0
Round 1,96,"Kazushige Shimamura He/Him
shinichiro watanabe","Selesnya Landfall
Temur Prowess",shinichiro watanabe won 2-1-0
Round 1,97,"Takuya Yoshimura He/Him
Go Nakamura He/Him","Izzet Control
Sultai Control",Go Nakamura won 2-1-0
Round 1,98,"MASAAKI SAKAMOTO
Keisuke Kirito","Selesnya Midrange
Izzet Tempo",MASAAKI SAKAMOTO won 2-0-0
Round 1,99,"takayukikumakura
gohki yokomizo She/Her","Dimir Demons
Dimir Deceit",gohki yokomizo won 2-0-0
Round 1,100,"Shicheng Peng
Yusuke Sasao He/Him","Jeskai Control
Izzet Elementals",1-1-0 Draw
Round 1,101,"TOYOSHIMAYUMA He/Him
Takurou Yamaguchi Other","Jeskai Artifacts
Sultai Control",TOYOSHIMAYUMA won 2-0-0
Round 1,102,"Kyohei Murayama He/Him
Yu Tanaka","Sultai Control
Golgari Control",Yu Tanaka won 2-1-0
Round 1,103,"takuya taniguchi
takayuki denishi Other","Selesnya Landfall
Selesnya Landfall",takuya taniguchi won 2-0-0
Round 1,104,"Ryouji Hirokawa
Pol Uros","Dimir Demons
Izzet Spellementals",Pol Uros won 2-1-0
Round 1,105,"Kazuaki WATANABE They/Them
Yoshihiro Oohashi He/Him","Selesnya Landfall
Jeskai Control",Kazuaki WATANABE won 2-1-0
Round 1,106,"KAZUYOSHI ANAN
MiyazakiTakato","W-U-B-R Control
Jeskai Control",MiyazakiTakato won 2-1-0
Round 1,107,"藤垣 琢矢 He/Him
itomasayoshi He/Him","Mono-Green Aggro
Temur Aggro",藤垣 琢矢 won 2-1-0
Round 1,108,"Yuusuke Ooyama
YUKI OTA He/Him","Izzet Elementals
Izzet Control",Yuusuke Ooyama won 2-1-0
Round 1,109,"YUSUKE NAKAMURA
Takehito Kawakami","Izzet Prowess
Jeskai Control",YUSUKE NAKAMURA won 2-1-0
Round 1,110,"Yuuhei Komatsu
Atsushi Hasegawa He/Him","Selesnya Landfall
Mono-White Aggro",1-1-0 Draw
Round 1,111,"Yutaro Tokuyama
Sangjoon Kong He/Him","Orzhov Aggro
Grixis Midrange",Yutaro Tokuyama won 2-1-0
Round 1,112,"Ohashi Toshiyuki
Tomoki Usui He/Him","Azorius Aggro
Golgari Midrange",Tomoki Usui won 2-1-0
Round 1,113,"hirofumi nakamatsu
Reona Shiga","Temur Aggro
Temur Aggro",hirofumi nakamatsu won 2-0-0
Round 1,114,"Kazuhiro Noine
tatsuya kadowaki He/Him","Selesnya Landfall
Izzet Spellementals",Kazuhiro Noine won 2-1-0
Round 1,115,"Tomoya Kobayashi
LaturaPK","Izzet Control
Izzet",Tomoya Kobayashi won 2-0-0
Round 1,116,"RYUJI INOUE
satoshi hashimoto He/Him","Izzet Aggro
Bant Midrange",RYUJI INOUE won 2-1-0
Round 1,117,"ReiSakano Other
Hiroki Toyota","Jeskai Control
Mono-Green Landfall",ReiSakano won 2-1-0
Round 1,118,"Yuichiro Sasa
Takaya Saito","Boros Aggro
Azorius Control",Takaya Saito won 2-0-0
Round 1,119,"Yuya Mizuno He/Him
kent kakigi He/Him","Selesnya Landfall
Izzet Spellementals",Yuya Mizuno won 2-1-0
Round 1,120,"Ryouta Mishina
TomohiroSakai He/Him","Temur Prowess
Izzet Prowess",TomohiroSakai won 2-0-0
Round 1,121,"Yosuke Oka He/Him
DBAngel","Izzet Prowess
Temur Omniscience",DBAngel won 2-1-0
Round 1,122,"Shigeki Kimura
ryuji mimido","Temur Aggro
Dimir Demons",ryuji mimido won 2-1-0
Round 1,123,"sawada jun He/Him
Yuya Hosokawa He/Him","Jeskai Control
Jeskai Control",Yuya Hosokawa won 2-0-0
Round 1,124,"JunSatoX1
Satoshi Kuraoka","Boros Tokens
Izzet Spellementals",Satoshi Kuraoka won 2-0-0
Round 1,125,"nakatatsuyoshi
Marei Okamura","Izzet Prowess
Sultai Control",nakatatsuyoshi won 2-1-0
Round 1,126,"RYOUTA SHIMIZU
Tetsu Kawaguchi","Izzet Spellementals
W-U-B-R Control",Tetsu Kawaguchi won 2-1-0
Round 1,127,"takanori watanabe He/Him
Riku Kumagai","Selesnya Aggro
Izzet Spellementals",Riku Kumagai won 2-1-0
Round 1,128,"HUNG KAIYANG
Takaaki Okumura He/Him","Boros Aggro
Izzet Prowess",Takaaki Okumura won 2-0-0
Round 1,129,"Takuto Furukawa
MASAHIDE MORIYAMA","Azorius Flash
Izzet Spellementals",MASAHIDE MORIYAMA won 2-0-0
Round 1,130,"空 大黒
Kazune Kosaka He/Him","Sultai Control
Temur Prowess",Kazune Kosaka won 2-0-0
Round 1,131,"HataRyushi
HARUKA KAWANOBE","Temur Aggro
Izzet Midrange",HARUKA KAWANOBE won 2-1-0
Round 1,132,"tanono
Hideki Yoshioka He/Him","Mardu Monument
Azorius Flash",Hideki Yoshioka won 2-0-0
Round 1,133,"Yoshitaka Fujino
Hiroaki Itou","Selesnya Aggro
Sultai Control",Yoshitaka Fujino won 2-0-0
Round 1,134,"JUNYA YOSHIKAWA
Yuichiro Maruyama","Temur Prowess
Izzet Spellementals",Yuichiro Maruyama won 2-1-0
Round 1,135,"Koichi Kudo
RyosukeHayashi","Selesnya Ouroboroid
Temur Midrange",RyosukeHayashi won 2-0-0
Round 1,136,"Shogo Kajita
Ryosuke Nishiura He/Him","U-B-R-G Reanimator
Selesnya Landfall",Shogo Kajita won 2-1-0
Round 1,137,"Tomohiro Matsumoto He/Him
emotosatoshi","Izzet Spellementals
Temur Prowess",Tomohiro Matsumoto won 2-0-0
Round 1,138,"Tomoya Tanaka
Rei Hirayama","Izzet Prowess
Izzet Spellementals",Rei Hirayama won 2-1-0
Round 1,139,"SHINICHI NAGAI
Satoshi Ishiguro Other","Izzet Lessons
Temur Aggro",SHINICHI NAGAI won 2-0-0
Round 1,140,"AxeBang
john_1_10_taka","Izzet Elementals
Izzet Prowess",AxeBang won 2-0-0
Round 1,141,"tomoya fujimoto He/Him
akira ishikawa","Selesnya Landfall
Selesnya Landfall",akira ishikawa won 2-1-0
Round 1,142,"Mikita Hirano He/Him
taiyo ishii He/Him","Izzet Spellementals
Izzet",taiyo ishii won 2-1-0
Round 1,143,"kyohei fukuyama They/Them
Keita Ito","Selesnya
Izzet Prowess",Keita Ito won 2-1-0
Round 1,144,"Yusuke Ohkawa
Tamon","Izzet Lessons
Dimir Excruciator",Tamon won 2-0-0
Round 1,145,"naoki kamizono
MASATO YAMADE","Temur Prowess
Izzet Spellementals",naoki kamizono won 2-1-0
Round 1,146,"Takatomo Tezuka
Yutaro Morimoto He/Him","Izzet Prowess
Selesnya Ouroboroid",Yutaro Morimoto won 2-1-0
Round 1,147,"yohei hoshino
Shota Miyashita","Temur Prowess
Izzet Lessons",Shota Miyashita won 2-0-0
Round 1,148,"Taichi Akiyama
tsuyoshinakamura","Azorius Tempo
Abzan Midrange",Taichi Akiyama won 2-1-0
Round 1,149,"Yosuke Shimizu He/Him
MAIMScrubs","Dimir Deceit
Selesnya Landfall",Yosuke Shimizu won 2-1-0
Round 1,150,"Leo Isogaya
yasuhiro yazu","Izzet Lessons
Selesnya Ouroboroid",Leo Isogaya won 2-0-0
Round 1,151,"Masataka Hori
Kazuaki Kurokawa","Selesnya Ouroboroid
Izzet Prowess",Masataka Hori won 2-1-0
Round 1,152,"taiyu kato
TAKUYA HASEGAWA","Golgari Aggro
Selesnya Landfall",taiyu kato won 2-0-0
Round 1,153,"showatanabe
Eisuke Oono He/Him","Bant Combo
Selesnya Landfall",Eisuke Oono won 2-0-0
Round 1,154,"Shigeo Murase
TASE YUYA Other","Jeskai Control
Azorius Aggro",Shigeo Murase won 2-1-0
Round 1,155,"RYOHEI SUZUKI
Sotaro Wada","Mono-Red Aggro
Izzet Prowess",Sotaro Wada won 2-0-0
Round 1,156,"KOUSUKE CHINEN
Takuya Aoki","Izzet Spellementals
Izzet",KOUSUKE CHINEN won 2-0-0
Round 1,157,"Hirotaka Kawasaki
shintarou yoshida He/Him","Selesnya Ouroboroid
Jeskai Control",Hirotaka Kawasaki won 2-0-0
Round 1,158,"mcgottsu
ryo kasuga","Mardu Aggro
Selesnya Landfall",ryo kasuga won 2-1-0
Round 1,159,"fukutome masayuki He/Him
Taisei Nakayama He/Him","Sultai Control
Izzet Prowess",Taisei Nakayama won 2-1-0
Round 1,160,"Shintaro Kurata
yoshio miyake","Izzet Aggro
Selesnya Landfall",Shintaro Kurata won 2-0-0
Round 1,161,"HAYATO IGURA
taegyun lim","Selesnya Landfall
Grixis Midrange",HAYATO IGURA won 2-1-0
Round 1,162,"Ryuichi Okayasu
HIDENARI IKEDA He/Him","Izzet Prowess
Selesnya Landfall",HIDENARI IKEDA won 2-1-0
Round 1,163,"NOBUAKI JINBA Other
Nixed","Temur Omniscience
W-U-B-R Control",Nixed won 2-1-0
Round 1,164,"Syunsuke Nakazima
Sho Miyasaka","Jeskai Control
Izzet Prowess",Sho Miyasaka won 2-0-0
Round 1,165,"YUJI KAWABATA He/Him
John Im He/Him","Izzet Spellementals
Izzet",YUJI KAWABATA won 2-1-0
Round 1,166,"Keiichiro Matsumoto
cckew He/Him","W-U-B-R Control
Izzet Spellementals",Keiichiro Matsumoto won 2-0-0
Round 1,167,"Ryo Inazawa He/Him
Manato Hosomi He/Him","Selesnya Landfall
Izzet Aggro",Manato Hosomi won 2-0-0
Round 1,168,"Ryo Ito
Yuta Akamine They/Them","Jeskai Control
Izzet Spellementals",Yuta Akamine won 2-0-0
Round 1,169,"ryuichiro ishida He/Him
Ryohei Takezawa He/Him","Selesnya Rhythm
Izzet Aggro",ryuichiro ishida won 2-0-0
Round 1,170,"Ryota Motegi
Akira Tanaka He/Him","Mardu
Izzet Lessons",Akira Tanaka won 2-0-0
Round 1,171,"Kazuya Kiyofuji
aqua haruka#50863 He/Him","Selesnya Landfall
Temur Prowess",Kazuya Kiyofuji won 2-0-0
Round 1,172,"sho kamezaki
Andreas Holmqvist","Mono-Green Landfall
Selesnya Landfall",sho kamezaki won 2-0-0
Round 1,173,"Shingo Takada He/Him
kento shiraki He/Him","Izzet Elementals
Selesnya Landfall",kento shiraki won 2-1-0
Round 1,174,"Takayuki Rita
takahiro yamaguchi","Jeskai Control
Izzet Lessons",takahiro yamaguchi won 2-0-0
Round 1,175,"MAEDA YOSHITAKA He/Him
Tatsuumi KOBAYASHI","Izzet Prowess
Izzet Spellementals",Tatsuumi KOBAYASHI won 2-0-0
Round 1,176,"Kiho Choi He/Him
baronlee","Izzet Prowess
Temur",baronlee won 2-1-0
Round 2,1,"Jun Furukawa
KazukiYada","Izzet Aggro
Temur Prowess",KazukiYada won 2-0-0
Round 2,2,"ReiSakano Other
ryuichiro ishida He/Him","Jeskai Control
Selesnya Rhythm",ReiSakano won 2-1-0
Round 2,3,"rintaro honda
HARUKA KAWANOBE","Temur Aggro
Izzet Midrange",rintaro honda won 2-0-0
Round 2,4,"Takaya Saito
Kenya Ishikawa He/Him","Azorius Control
Izzet Spellementals",Kenya Ishikawa won 2-1-0
Round 2,5,"Masaki Ooura
TomohiroSakai He/Him","Izzet Prowess
Izzet Prowess",Masaki Ooura won 2-1-0
Round 2,6,"Keita Tonouchi He/Him
Sho Miyasaka","Selesnya Landfall
Izzet Prowess",Keita Tonouchi won 2-0-0
Round 2,7,"Riku Kumagai
Kenji Sego","Izzet Spellementals
Izzet Spellementals",Kenji Sego won 2-1-0
Round 2,8,"Tomoaki Ogasawara
Yuta Akamine They/Them","Selesnya Ouroboroid
Izzet Spellementals",Yuta Akamine won 2-0-0
Round 2,9,"hirofumi nakamatsu
Kaoru Yoshizawa","Temur Aggro
Izzet Prowess",hirofumi nakamatsu won 2-1-0
Round 2,10,"Keiichiro Matsumoto
Tomoki Usui He/Him","W-U-B-R Control
Golgari Midrange",Keiichiro Matsumoto won 2-1-0
Round 2,11,"gohki yokomizo She/Her
naoki kamizono","Dimir Deceit
Temur Prowess",gohki yokomizo won 2-0-0
Round 2,12,"Yuya Hosokawa He/Him
Sotaro Wada","Jeskai Control
Izzet Prowess",Yuya Hosokawa won 2-0-0
Round 2,13,"Satoshi Kuraoka
Yu Tanaka","Izzet Spellementals
Golgari Control",Yu Tanaka won 2-1-0
Round 2,14,"Keisuke Naitou
Takumi Utsunomiya He/Him","Temur Prowess
Izzet Spellementals",Keisuke Naitou won 2-0-0
Round 2,15,"YUSUKE NAKAMURA
Naoki Higashida","Izzet Prowess
Izzet Prowess",YUSUKE NAKAMURA won 2-0-0
Round 2,16,"Takaaki Okumura He/Him
akira uemura He/Him","Izzet Prowess
Selesnya Landfall",akira uemura won 2-1-0
Round 2,17,"Kenichirise
Masanari Fukasawa He/Him","Izzet Bounce
Selesnya Landfall",Masanari Fukasawa won 2-0-0
Round 2,18,"Yoshihiko Ikawa He/Him
yoshiki yamashita He/Him","Izzet Spellementals
Izzet Spellementals",Yoshihiko Ikawa won 2-1-0
Round 2,19,"SHINICHI NAGAI
Hiroki Kageyama","Izzet Lessons
Izzet Otters",Hiroki Kageyama won 2-1-0
Round 2,20,"Manato Hosomi He/Him
yuuji yoshida","Izzet Aggro
Temur Aggro",yuuji yoshida won 2-0-0
Round 2,21,"MASAHIDE MORIYAMA
MAKITOYOSHIYAMA","Izzet Spellementals
Temur Aggro",MASAHIDE MORIYAMA won 2-1-0
Round 2,22,"Jeongwoo Cho He/Him
Takamichi Asai","Izzet Prowess
Temur Prowess",Jeongwoo Cho won 2-1-0
Round 2,23,"suganumakatuhiro
Yoshitaka Fujino","Grixis Reanimator
Selesnya Aggro",Yoshitaka Fujino won 2-0-0
Round 2,24,"Masakuni Hamaguchi
RYUJI INOUE","Selesnya Landfall
Izzet Aggro",Masakuni Hamaguchi won 2-0-0
Round 2,25,"Yutaro Morimoto He/Him
HIDENARI IKEDA He/Him","Selesnya Ouroboroid
Selesnya Landfall",Yutaro Morimoto won 2-1-0
Round 2,26,"Sho Yoshimori He/Him
Keisuke Ebitani","Selesnya Landfall
Selesnya Ouroboroid",Sho Yoshimori won 2-1-0
Round 2,27,"Taichi Akiyama
YutaYamada","Azorius Tempo
Izzet Prowess",YutaYamada won 2-1-0
Round 2,28,"RIKI KAMO He/Him
Yohei Nomiya He/Him","Mono-Green Landfall
Izzet Spellementals",RIKI KAMO won 2-0-0
Round 2,29,"Tomoya Kobayashi
Atsuki Kihara He/Him","Izzet Control
Sultai Control",Tomoya Kobayashi won 2-1-0
Round 2,30,"Hiroaki Taniguchi He/Him
sho kamezaki","Golgari Midrange
Mono-Green Landfall",Hiroaki Taniguchi won 2-0-0
Round 2,31,"Yusuke Takaoka He/Him
naoto yamane","Izzet Aggro
Selesnya Ouroboroid",naoto yamane won 2-1-0
Round 2,32,"Tomonori Hirami
Mikita Hisano","Azorius Flash
Boros",Tomonori Hirami won 2-0-0
Round 2,33,"Hideki Yoshioka He/Him
Toyoharu Mizuno He/Him","Azorius Flash
Selesnya Landfall",Hideki Yoshioka won 2-0-0
Round 2,34,"taiyo ishii He/Him
Kazune Kosaka He/Him","Izzet
Temur Prowess",taiyo ishii won 2-1-0
Round 2,35,"Rei Hirayama
maegawa","Izzet Spellementals
Selesnya Aggro",Rei Hirayama won 2-1-0
Round 2,36,"Nixed
kento shiraki He/Him","W-U-B-R Control
Selesnya Landfall",kento shiraki won 2-0-0
Round 2,37,"Masaru Abe He/Him
RyosukeHayashi","Dimir Excruciator
Temur Midrange",RyosukeHayashi won 2-0-0
